05.59.54.253125 1 login 
06.00.35.851753 1 words 2 
06.00.36.071152 1 words 2 
06.00.36.257702 1 words 2 
06.00.36.475568 1 words 1 
06.00.36.709627 1 words 1 
06.00.36.945034 1 words 1 
06.00.37.164782 1 words 1 
06.00.37.382782 1 words 1 
06.00.37.585857 1 words 1 
06.00.37.742860 1 words 2 
06.00.37.961862 1 words 2 
06.00.38.150097 1 words 2 
06.00.38.338333 1 words 2 
06.00.38.572176 1 words 2 
06.00.38.789156 1 words 2 
06.00.38.996596 1 words 2 
06.00.39.185481 1 words 2 
06.00.39.415410 1 words 2 
06.00.39.617727 1 words 2 
06.00.39.837723 1 words 2 
06.00.40.059119 1 words 2 
06.00.40.257356 1 words 2 
06.00.40.460141 1 words 2 
06.00.40.685623 1 words 2 
06.00.40.854112 1 words 2 
06.00.41.039927 1 words 1 
06.00.41.289755 1 words 1 
06.00.41.538804 1 words 1 
06.00.41.759235 1 words 1 
06.00.41.997352 1 words 1 
06.00.42.242610 1 words 1 
06.00.42.461333 1 words 1 
06.00.42.695299 1 words 2 
06.00.42.898448 1 words 2 
06.00.43.124018 1 words 2 
06.00.43.289672 1 words 2 
06.00.43.460678 1 words 2 
06.00.43.665304 1 words 2 
06.00.43.852814 1 words 2 
06.00.44.038722 1 words 1 
06.00.44.258815 1 words 1 
06.00.44.434642 1 words 2 
06.00.44.602964 1 words 1 
06.00.44.748960 1 words 2 
06.00.45.289537 1 words 2 
06.00.45.446597 1 words 2 
06.00.45.588133 1 words 1 
06.00.50.679232 1 words 1 
06.00.50.899047 1 words 1 
06.00.51.102313 1 words 1 
06.00.51.335265 1 words 1 
06.00.51.523862 1 words 2 
06.00.51.711512 1 words 2 
06.00.51.898868 1 words 2 
06.00.53.743045 1 words 2 
06.00.53.934915 1 words 2 
06.00.54.102972 1 words 2 
06.00.54.351061 1 words 1 
06.00.54.586228 1 words 1 
06.00.54.758141 1 words 1 
06.00.54.960829 1 words 2 
06.00.55.164385 1 words 2 
06.00.55.290050 1 words 2 
06.00.55.460848 1 words 2 
06.00.55.650463 1 words 1 
06.00.55.851009 1 words 1 
06.00.55.998251 1 words 1 
06.00.56.184472 1 words 1 
06.00.56.383130 1 words 2 
06.00.56.585121 1 words 2 
06.00.56.726435 1 words 2 
06.00.56.883324 1 words 2 
06.00.57.023462 1 words 2 
06.00.57.194934 1 words 2 
06.00.57.414524 1 words 1 
06.00.57.664938 1 words 1 
06.00.57.850298 1 words 1 
06.00.58.039387 1 words 2 
06.00.58.226558 1 words 2 
06.00.58.383975 1 words 2 
06.00.58.524426 1 words 2 
06.00.58.684480 1 words 2 
06.00.58.998156 1 words 1 
06.00.59.210120 1 words 1 
06.00.59.413806 1 words 1 
06.00.59.587442 1 words 1 
06.00.59.819856 1 words 2 
06.01.00.025414 1 words 2 
06.01.00.197486 1 words 2 
06.01.00.382418 1 words 2 
06.01.00.587603 1 words 2 
06.01.00.992355 1 words 1 
06.01.01.227775 1 words 1 
06.01.01.445168 1 words 1 
06.01.01.649446 1 words 1 
06.01.01.882281 1 words 2 
06.01.02.102933 1 words 2 
06.01.02.274605 1 words 2 
06.01.02.523811 1 words 2 
06.01.02.758140 1 words 2 
06.01.02.974755 1 words 2 
06.01.03.183845 1 words 2 
06.01.03.398401 1 words 2 
06.01.03.601001 1 words 2 
06.01.04.040225 1 words 1 
06.01.04.289742 1 words 1 
06.01.04.568873 1 words 2 
06.01.04.757371 1 words 2 
06.01.04.928932 1 words 2 
06.01.05.118723 1 words 2 
06.01.05.273547 1 words 2 
06.01.05.619452 1 words 2 
06.01.05.868560 1 words 2 
06.01.06.211577 1 words 1 
06.01.06.430553 1 words 1 
06.01.06.664501 1 words 1 
06.01.06.992267 1 words 1 
06.01.07.366308 1 words 2 
06.01.07.571459 1 words 2 
06.01.07.757465 1 words 2 
06.01.07.913930 1 words 2 
06.01.08.133364 1 words 2 
06.01.08.336090 1 words 2 
06.01.08.520582 1 words 2 
06.01.08.726745 1 words 2 
06.01.08.913073 1 words 2 
06.01.09.123380 1 words 2 
06.01.09.310878 1 words 2 
06.01.09.524914 1 words 1 
06.01.09.748723 1 words 1 
06.01.09.976022 1 words 1 
06.01.10.196151 1 words 1 
06.01.10.476469 1 words 1 
06.01.10.684238 1 words 1 
06.01.10.898093 1 words 1 
06.01.11.070489 1 words 1 
06.01.11.274225 1 words 1 
06.01.11.464166 1 words 1 
06.01.11.602632 1 words 2 
06.01.11.819802 1 words 2 
06.01.12.069814 1 words 2 
06.01.12.257882 1 words 2 
06.01.12.602085 1 words 2 
06.01.12.873348 1 words 2 
06.01.13.070147 1 words 2 
06.01.13.274301 1 words 2 
06.01.13.477412 1 words 2 
06.01.13.683900 1 words 2 
06.01.13.899459 1 words 2 
06.01.14.102046 1 words 2 
06.01.14.321993 1 words 2 
06.01.14.523324 1 words 2 
06.01.14.727638 1 words 2 
06.01.14.914550 1 words 2 
06.01.15.069663 1 words 2 
06.01.15.243131 1 words 2 
06.01.15.430026 1 words 2 
06.01.15.666704 1 words 1 
06.01.15.934938 1 words 1 
06.01.16.164398 1 words 1 
06.01.16.414302 1 words 1 
06.01.16.684285 1 words 1 
