10.59.05.642395 SB79 login 
11.00.06.333666 SB79 words 2 
11.00.06.591143 SB79 words 2 
11.00.06.840892 SB79 words 2 
11.00.07.090919 SB79 words 2 
11.00.07.341100 SB79 words 2 
11.00.07.606862 SB79 words 2 
11.00.07.863833 SB79 words 2 
11.00.08.145366 SB79 words 2 
11.00.08.379752 SB79 words 2 
11.00.08.661029 SB79 words 2 
11.00.08.879557 SB79 words 2 
11.00.09.129851 SB79 words 2 
11.00.09.364239 SB79 words 2 
11.00.09.598634 SB79 words 2 
11.00.09.848655 SB79 words 2 
11.00.10.098699 SB79 words 2 
11.00.10.348718 SB79 words 2 
11.00.10.583109 SB79 words 2 
11.00.10.814732 SB79 words 2 
11.00.11.033551 SB79 words 2 
11.00.11.299407 SB79 words 2 
11.00.11.518210 SB79 words 2 
11.00.11.752583 SB79 words 2 
11.00.11.986737 SB79 words 2 
11.00.12.252653 SB79 words 2 
11.00.12.455804 SB79 words 2 
11.00.12.690202 SB79 words 2 
11.00.12.962891 SB79 words 2 
11.00.13.197273 SB79 words 2 
11.00.13.447321 SB79 words 2 
11.00.13.666055 SB79 words 2 
11.00.13.916095 SB79 words 2 
11.00.14.181759 SB79 words 2 
11.00.14.431763 SB79 words 2 
11.00.14.666188 SB79 words 2 
11.00.14.900598 SB79 words 2 
11.00.15.152859 SB79 words 2 
11.00.15.434135 SB79 words 2 
11.00.15.684159 SB79 words 2 
11.00.15.902955 SB79 words 2 
11.00.16.090200 SB79 words 1 
11.00.16.356126 SB79 words 1 
11.00.16.606130 SB79 words 1 
11.00.16.856166 SB79 words 1 
11.00.17.113823 SB79 words 1 
11.00.17.363586 SB79 words 1 
11.00.17.598227 SB79 words 1 
11.00.17.832649 SB79 words 1 
11.00.18.067041 SB79 words 1 
11.00.18.277079 SB79 words 1 
11.00.18.527066 SB79 words 1 
11.00.18.761483 SB79 words 1 
11.00.19.011514 SB79 words 1 
11.00.19.277157 SB79 words 1 
11.00.19.495939 SB79 words 1 
11.00.19.745989 SB79 words 1 
11.00.19.949106 SB79 words 1 
11.00.20.167889 SB79 words 1 
11.00.20.371055 SB79 words 1 
11.00.20.574184 SB79 words 1 
11.00.20.839823 SB79 words 2 
11.00.21.089617 SB79 words 2 
11.00.21.292795 SB79 words 2 
11.00.21.543025 SB79 words 2 
11.00.21.808709 SB79 words 2 
11.00.22.043081 SB79 words 2 
11.00.22.285016 SB79 words 2 
11.00.22.503534 SB79 words 2 
11.00.22.722310 SB79 words 2 
11.00.22.956988 SB79 words 2 
11.00.23.207002 SB79 words 2 
11.00.23.480125 SB79 words 2 
11.00.23.714518 SB79 words 2 
11.00.23.964552 SB79 words 2 
11.00.24.185652 SB79 words 2 
11.00.24.420024 SB79 words 2 
11.00.24.670042 SB79 words 2 
11.00.24.920083 SB79 words 2 
11.00.25.170098 SB79 words 2 
11.00.25.404512 SB79 words 2 
11.00.25.654508 SB79 words 2 
11.00.25.873320 SB79 words 2 
11.00.26.060825 SB79 words 1 
11.00.26.279597 SB79 words 1 
11.00.26.513747 SB79 words 1 
11.00.26.748407 SB79 words 1 
11.00.26.998439 SB79 words 1 
11.00.27.279731 SB79 words 1 
11.00.27.521263 SB79 words 1 
11.00.27.755413 SB79 words 1 
11.00.28.005440 SB79 words 1 
11.00.28.271352 SB79 words 1 
11.00.28.630738 SB79 words 1 
11.00.28.918899 SB79 words 2 
11.00.29.153315 SB79 words 2 
11.00.29.387742 SB79 words 2 
11.00.29.637763 SB79 words 2 
11.00.29.903402 SB79 words 2 
11.00.30.169062 SB79 words 2 
11.00.30.419111 SB79 words 2 
11.00.30.684733 SB79 words 2 
11.00.30.903517 SB79 words 2 
11.00.31.137918 SB79 words 2 
11.00.31.372065 SB79 words 2 
11.00.31.593077 SB79 words 2 
11.00.31.827219 SB79 words 2 
11.00.32.046261 SB79 words 2 
11.00.32.218145 SB79 words 2 
11.00.32.436665 SB79 words 2 
11.00.32.624447 SB79 words 2 
11.00.32.834181 SB79 words 2 
11.00.33.084168 SB79 words 2 
11.00.33.334195 SB79 words 2 
11.00.33.552995 SB79 words 2 
11.00.33.803044 SB79 words 2 
11.00.33.997382 SB79 words 2 
11.00.34.232017 SB79 words 2 
11.00.34.466428 SB79 words 2 
11.00.34.685181 SB79 words 2 
11.00.34.935212 SB79 words 2 
11.00.35.138098 SB79 words 2 
11.00.35.372745 SB79 words 2 
11.00.35.591531 SB79 words 2 
11.00.35.794664 SB79 words 1 
11.00.36.060328 SB79 words 1 
11.00.36.310113 SB79 words 1 
11.00.36.529120 SB79 words 1 
11.00.36.763520 SB79 words 1 
11.00.37.013300 SB79 words 1 
11.00.37.279202 SB79 words 1 
11.00.37.544610 SB79 words 1 
11.00.37.921048 SB79 words 1 
11.00.38.176863 SB79 words 1 
11.00.38.395359 SB79 words 1 
11.00.38.645633 SB79 words 1 
11.00.38.958194 SB79 words 2 
11.00.39.176960 SB79 words 2 
11.00.39.387019 SB79 words 2 
11.00.39.621431 SB79 words 2 
